,Name,Genre,AE_Mean,AE_Std,RMS_Mean,RMS_Std,ZCR_Mean,ZCR_Std,BER_Mean,BER_Std,SC_Mean,SC_Std,BW_Mean,BW_Std,MFCC0_Mean,MFCC0_Std,MFCC1_Mean,MFCC1_Std,MFCC2_Mean,MFCC2_Std,MFCC3_Mean,MFCC3_Std,MFCC4_Mean,MFCC4_Std,MFCC5_Mean,MFCC5_Std,MFCC6_Mean,MFCC6_Std,MFCC7_Mean,MFCC7_Std,MFCC8_Mean,MFCC8_Std,MFCC9_Mean,MFCC9_Std,MFCC10_Mean,MFCC10_Std,MFCC11_Mean,MFCC11_Std,MFCC12_Mean,MFCC12_Std
166,03 Snow (Hey Oh).mp4,metal,0.3795639,0.09191384,0.14837654,0.042989068,0.07648833260827533,0.039280647120983246,44.71129,51.51484,1825.8420714097117,641.6181188670605,2140.912161419613,419.91381709349264,-102.0421,51.552917,106.81705,26.68429,-2.8997436,13.083625,45.95476,12.842848,0.26709488,10.923201,15.618155,9.195952,-12.087907,11.030333,13.404048,7.858884,-9.435105,9.385132,6.631903,7.6399612,-6.6089945,7.7885923,3.5348754,6.9133735,-6.5867047,7.029905
167,03 Monster.mp4,metal,0.5343104,0.15813744,0.19167484,0.07182738,0.08176086378576952,0.04156401435881908,94.82228,256.55838,1891.3246054510025,678.2353685426588,2279.9059790506512,481.6728724315783,-79.43053,51.908325,106.0836,25.89477,2.4605024,20.581287,32.25527,18.197393,3.4138868,13.164968,8.566774,15.3206215,8.731896,13.73175,6.426446,10.953464,-0.31534114,10.6394205,11.30601,9.707862,-8.48124,8.628825,7.549032,9.623027,-10.349688,8.244035
168,03 Lips Of An Angel.mp4,metal,0.23690508,0.048566997,0.08418565,0.016039796,0.10187442599574632,0.05774577306465096,20.178398,16.716581,2100.1456344674552,721.6718217053987,2291.207730235067,404.63447085303,-120.59116,34.482162,101.84247,26.843578,-10.974157,16.179432,32.0349,13.042909,1.7509316,9.757358,14.788211,8.4051285,-2.7950711,7.5454,14.244725,7.3427672,-5.0360394,8.279347,11.423777,6.359363,-6.619803,7.126806,8.929325,6.7089534,-6.818107,5.822034
169,03 Master of Puppets.mp4,metal,0.56680423,0.20234448,0.19418661,0.07742306,0.1492124057424594,0.06178058381472874,10.021844,24.04352,2885.0120814357874,542.387338965614,2475.0629535877983,225.32771140204255,-35.234684,57.963436,52.632793,16.590322,-20.065825,13.364983,53.3047,14.483955,5.1646194,9.926022,21.408169,8.6969,-1.5483496,9.037194,14.097351,7.445951,-7.360005,7.6003065,9.93186,7.648339,-3.2065132,7.3080845,6.2725434,6.1421876,-7.715025,6.9475684
170,03 Smooth Criminal.mp4,metal,0.4470142,0.1422139,0.14651679,0.051898696,0.12181880800464037,0.08318334790060902,78.68714,304.13513,2560.940519382875,901.6200498962598,2568.584700444255,391.10260917346875,-66.83131,53.584248,79.118996,30.019325,3.5459878,23.531294,36.181007,17.58873,-3.5919037,13.655056,14.192291,13.638138,0.0864044,10.480133,16.122993,8.749267,-6.7035284,11.898665,12.831031,7.6383114,-7.1205664,8.049787,6.932251,6.4714212,-7.221116,6.1047316
171,03 Numb.mp4,metal,0.8998462,0.10771096,0.33504686,0.06789924,0.11531669929427688,0.0471533540001693,15.114282,27.22425,2294.8800348078307,548.8906445552379,2323.331037178502,283.8644576317403,31.638927,26.830118,92.836945,18.219131,-21.4405,15.565901,28.628752,11.782841,-0.66013,9.287487,13.148359,9.146046,-4.4134736,9.157915,12.1129465,6.7359514,-3.6743095,7.4886403,11.339474,7.584554,-2.0547426,6.7091823,11.017791,6.2841954,-3.5292337,5.8253794
172,03 sTraNgeRs.mp4,metal,0.7658534,0.19723848,0.33764598,0.10131089,0.0597024845320959,0.05614580251022271,927.7757,5193.459,1681.68661596616,772.9180554183134,2176.399823467471,529.3153672081871,-73.1893,70.09272,100.51689,33.360992,22.622002,29.948906,55.111217,17.594967,0.7578233,12.356591,15.902049,13.427215,5.6713185,11.013733,12.186188,12.073042,-1.0301327,10.503228,18.254673,9.777257,-6.085382,9.435068,12.323857,9.420726,-4.6113873,9.091802
173,03 Last Resort.mp4,metal,0.8007604,0.13886857,0.28512907,0.068486005,0.13707372631477185,0.03192459839856755,5.978413,4.618954,2576.7289637962654,337.2441285558403,2373.046100617864,190.95195082009843,25.821253,21.85178,74.404915,12.515565,-25.717375,10.31762,44.289642,9.269038,-3.9068322,6.7478704,17.712204,6.2760477,3.554132,8.014727,13.972558,6.283489,0.875878,6.262652,14.900158,5.7088766,-1.9496017,5.7344966,13.576907,5.3064632,-5.8512588,5.0684595
174,03 The Reason.mp4,metal,0.788261,0.13028942,0.29750276,0.057919983,0.11037950744392885,0.04322078505438029,18.268143,22.14724,2356.6644119135094,558.264964791511,2518.276051335744,325.0510864540818,0.74720174,33.63858,84.346794,22.037302,1.932533,14.171161,41.6027,10.096572,3.6679285,10.332422,13.563053,8.5886965,-12.175673,7.720976,15.421125,8.603218,-8.619849,8.304615,10.882179,7.8676515,-12.02481,6.611517,6.5548077,5.793457,-6.186938,7.0619097
175,03 Sextape.mp4,metal,0.6515553,0.13230745,0.23035975,0.055774856,0.1135501256767208,0.03255780757443483,10.093862,8.821471,2382.338446443505,370.13165230228003,2422.324979241793,209.84043456200223,-11.909714,22.294624,79.507614,11.912342,-15.907288,11.4119,39.638542,8.873384,1.432294,6.488143,18.098225,7.03106,4.1815023,7.7686367,19.563026,6.7686987,-0.40978,6.5575075,13.585071,5.75861,-2.6128683,5.6755495,9.754979,7.293828,-7.2175846,6.470412
